lat,long,elevation,slope,aspect,curvature,twi
26.068230303570854,-98.07958780223456,29,1,270,-2,8.607715418818213
26.066148097293244,-97.79656338367415,21,1,90,5,8.607715418818213
26.06351128634436,-97.51357413124066,9,1,312,-1,8.607715418818213
26.326382281740223,-98.6449345463962,71,3,0,3,7.545104852168523
26.325398957006225,-98.36124584985556,62,3,48,0,7.545104852168523
26.32385436170937,-98.0775759609354,26,1,270,-1,8.607715418818213
26.321748670056166,-97.79393322843316,16,4,132,3,7.261413878822431
26.319082119489444,-97.51032599637756,10,2,90,2,7.941743691836643
25.211173202182295,-81.12823740822891,9,1,180,-6,8.607715418818213
26.582452100124907,-98.92847591759272,118,0,0,0,11.522875795823397
26.582025430364148,-98.64414956592476,144,1,312,4,8.607715418818213
26.581031090791555,-98.35983377012133,77,3,180,0,7.545104852168523
26.57946919388659,-98.0755369624235,24,0,0,-5,11.522875795823397
26.57733991630652,-97.79126757170684,19,2,270,-2,7.941743691836643
26.574643498834163,-97.50703402198867,10,1,90,-7,8.607715418818213
25.454440806414347,-81.09124651682433,6,2,270,-2,7.941743691836643
25.420415912706183,-80.8235718359756,2,3,200,6,7.545104852168523
25.38594679780652,-80.55638460453466,8,3,132,0,7.545104852168523
26.837948211552263,-99.21328014285032,105,5,270,-1,7.040188830991998
26.838090829133403,-98.92831601491416,149,1,48,0,8.607715418818213
26.837659412383758,-98.64335402927684,154,3,180,-6,7.545104852168523
26.836654010248992,-98.3584027017205,68,2,0,0,7.941743691836643
26.83507473678669,-98.07347054612065,23,1,270,1,8.607715418818213
26.832921771132373,-97.78856607292376,10,3,0,8,7.545104852168523
25.73159342653067,-81.32241773293613,10,1,132,2,8.607715418818213
25.69764953398933,-81.05377391882476,3,1,270,1,8.607715418818213
25.663253344149783,-80.78561595838018,5,2,151,2,7.941743691836643
25.628408297385175,-80.5179496408059,6,1,270,6,8.607715418818213
27.09357615795765,-99.21376226874436,161,2,270,-1,7.941743691836643
27.093720351678204,-98.92815396987292,191,2,270,3,7.941743691836643
27.093284167134705,-98.64254783423016,146,1,0,-1,8.607715418818213
27.09226765395775,-98.3569524607916,89,2,246,1,7.941743691836643
27.090670927800883,-98.0713764465898,29,4,209,12,7.261413878822431
27.08849417030608,-97.78582838516306,16,2,114,-13,7.941743691836643
26.00896189655357,-81.5545738682424,5,3,0,5,7.545104852168523
25.975110453163214,-81.28495256827954,3,1,48,5,8.607715418818213
25.94079856828709,-81.01581545528191,8,5,167,-5,7.040188830991998
25.90602969485011,-80.74716842597009,6,1,180,-3,8.607715418818213
25.87080731842684,-80.479017304657,6,1,0,3,8.607715418818213
